Column1,STRUCTURA,ADRESA,Numar telefon,Num?r fax,E-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DIREC?IA GENERAL? ANTICORUP?IE,"Bucure?ti,Sos.Olteni?ei,nr.390 A,Sector 4,  ",021/332.26.54;365.35.09,021/332.36.64,dga@mai.gov.ro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DIREC?IA  ANTICORUP?IE pentru  MUNICIPIUL BUCURESTI ?i JUDE?UL ILFOV,"  Bucure?ti,Bd. Nicolae Grigorescu, nr. 12A, Sector 3 ",021/365.35.98,021/3653598        021/3653592,bucuresti.dga@mai.gov.ro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SERVICIUL JUDE?EAN ANTICORUP?IE ALBA,"Alba Iulia, str. Pia?a Ion I. C. Br?tianu,nr. 4, jud. Alba", 0258/806.161 int. 20229, 0258/811.286,alba.dga@mai.gov.ro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SERVICIUL JUDE?EAN ANTICORUP?IE ARAD,"      Arad, str. Ion Calvin nr.17-19,jud. Arad",0257/207.132,,arad.dga@mai.gov.ro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SERVICIUL JUDE?EAN ANTICORUP?IE ARGE?,"Pite?ti, str. Victoriei, nr.60, jud. Arge?", 0248/607.000 int.20300 ,,arges.dga@mai.gov.ro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SERVICIUL JUDE?EAN ANTICORUP?IE BAC?U,"Bac?u, str. Spiru Haret, nr. 2-4, jud. Bac?u",0234/202.611,,bacau.dga@mai.gov.ro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SERVICIUL JUDE?EAN ANTICORUP?IE BIHOR,"Oradea, str. Dun?rea nr. 2, jud. Bihor",0259/469.043,0259/469.043,bihor.dga@mai.gov.ro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SERVICIUL JUDE?EAN ANTICORUP?IE BISTRI?A-N?S?UD,"Bistri?a, Pia?a Petru Rare? nr.1, etj. 3,     jud.Bistri?a-Nasaud",0263/203.167,0263/203.167, bistrita.dga@mai.gov.ro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SERVICIUL JUDE?EAN ANTICORUP?IE BR?ILA," Br?ila, Pia?a Independen?ei nr. 1, jud. Br?ila",0239/613.634,,braila.dga@mai.gov.ro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SERVICIUL JUDE?EAN ANTICORUP?IE BOTO?ANI,"Boto?ani, b-dul Mihai Eminescu, nr. 57, jud. Boto?ani","0231/507.128,0231/507.121",0231/507.120,botosani.dga@mai.gov.ro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
