Denumire Judet,Localitate,Numar Locuitori
ALBA,ALBA IULIA,"68,796"
ALBA,AIUD,"25,310"
ALBA,BLAJ,"20,348"
ALBA,SEBES,"29,811"
ALBA,ABRUD,"5,475"
ALBA,BAIA DE ARIES,"3,996"
ALBA,CAMPENI,"7,379"
ALBA,CUGIR,"24,968"
ALBA,OCNA MURES,"14,631"
ALBA,TEIUS,"7,312"
ALBA,ZLATNA,"7,905"
ALBA,ALBAC,"2,133"
ALBA,ALMASU MARE,"1,323"
ALBA,ARIESENI,"1,737"
ALBA,AVRAM IANCU,"1,584"
ALBA,BERGHIN,"2,075"
ALBA,BISTRA,"4,773"
ALBA,BLANDIANA,"1,008"
ALBA,BUCERDEA GRANOASA,"2,384"
ALBA,BUCIUM,"1,512"
ALBA,CALNIC,"1,802"
ALBA,CENADE,960
ALBA,CERGAU,"1,562"
ALBA,CERU BACAINTI,270
ALBA,CETATEA DE BALTA,"2,991"
ALBA,CIUGUD,"2,927"
ALBA,CIURULEASA,"1,159"
ALBA,CRACIUNELUL DE JOS,"2,209"
ALBA,CRICAU,"2,210"
ALBA,CUT,"1,277"
ALBA,DAIA ROMANA,"3,085"
ALBA,DOSTAT,970
ALBA,FARAU,"1,497"
ALBA,GALDA DE JOS,"4,405"
ALBA,GARBOVA,"2,088"
ALBA,GARDA DE SUS,"1,661"
ALBA,HOPARTA,"1,188"
ALBA,HOREA,"2,139"
ALBA,IGHIU,"6,702"
ALBA,INTREGALDE,607
ALBA,JIDVEI,"5,123"
ALBA,LIVEZILE,"1,267"
ALBA,LOPADEA NOUA,"2,712"
ALBA,LUNCA MURES,"2,464"
ALBA,LUPSA,"3,425"
ALBA,METES,"2,914"
ALBA,MIHALT,"3,385"
ALBA,MIRASLAU,"2,090"
ALBA,MOGOS,785
ALBA,NOSLAC,"1,723"
ALBA,OCOLIS,626
ALBA,OHABA,713
ALBA,PIANU,"3,484"
ALBA,POIANA VADULUI,"1,122"
ALBA,PONOR,508
ALBA,POSAGA,"1,108"
ALBA,RADESTI,"1,319"
ALBA,RAMET,526
ALBA,RIMETEA,"1,054"
ALBA,ROSIA DE SECAS,"1,544"
ALBA,ROSIA MONTANA,"2,863"
ALBA,SALCIUA,"1,547"
ALBA,SALISTEA,"2,306"
ALBA,SANCEL,"2,502"
ALBA,SANTIMBRU,"3,063"
ALBA,SASCIORI,"6,081"
ALBA,SCARISOARA,"1,587"
ALBA,SIBOT,"2,479"
ALBA,SOHODOL,"1,733"
ALBA,SONA,"4,407"
ALBA,SPRING,"2,451"
ALBA,STREMT,"2,538"
ALBA,SUGAG,"2,802"
ALBA,UNIREA,"5,132"
ALBA,VADU MOTILOR,"1,423"
ALBA,VALEA LUNGA,"3,137"
ALBA,VIDRA,"1,634"
ALBA,VINTU DE JOS,"5,439"
ALBA Total,,"367,185"
ARAD,ARAD,"162,450"
ARAD,CHI?INEU CRI?,"8,140"
ARAD,CURTICI,"8,078"
ARAD,INEU,"9,394"
ARAD,LIPOVA,"10,739"
ARAD,N?DLAC,"7,866"
ARAD,PaNCOTA,"7,616"
ARAD,PECICA,"13,998"
ARAD,SaNTANA,"13,375"
ARAD,SEBI?,"6,067"
ARAD,ALMA?,"2,839"
ARAD,APATEU,"3,502"
ARAD,ARCHI?,"1,586"
ARAD,BATA,"1,194"
ARAD,BaRSA,"1,866"
ARAD,BaRZAVA,"2,740"
ARAD,BELIU,"3,069"
ARAD,BIRCHI?,"2,040"
ARAD,BOCSIG,"3,610"
ARAD,BRAZII,"1,233"
ARAD,BUTENI,"3,386"
ARAD,C?RAND,"1,133"
ARAD,CERMEI,"2,747"
ARAD,CHISINDIA,"1,401"
ARAD,CONOP,"2,428"
ARAD,COV?SaN?,"2,549"
ARAD,CRAIVA,"2,871"
ARAD,DEZNA,"1,258"
ARAD,DIECI,"1,521"
ARAD,DOROBAN?I,"1,568"
ARAD,FaNTaNELE,"3,538"
ARAD,FELNAC,"3,150"
ARAD,FRUMU?ENI,"2,760"
ARAD,GHIOROC,"4,188"
ARAD,GR?NICERI,"2,471"
ARAD,GURAHON?,"4,039"
ARAD,H?LMAGIU,"2,932"
ARAD,H?LM?GEL,"1,254"
ARAD,H??MA?,"1,327"
ARAD,IGNE?TI,706
ARAD,IRATO?U,"2,476"
ARAD,LIVADA,"3,104"
ARAD,MACEA,"6,665"
ARAD,MI?CA,"3,773"
ARAD,MONEASA,967
ARAD,OLARI,"2,111"
ARAD,P?ULI?,"4,360"
ARAD,PEREGU MARE,"1,738"
ARAD,PETRI?,"1,482"
ARAD,PILU,"2,258"
ARAD,PLE?CU?A,"1,164"
ARAD,S?VaR?IN,"3,114"
ARAD,SECUSIGIU,"6,283"
ARAD,SELEU?,"3,032"
ARAD,SEMLAC,"3,943"
ARAD,SINTEA MARE,"3,762"
ARAD,SOCODOR,"2,289"
ARAD,?AGU,"3,995"
ARAD,?EITIN,"3,090"
ARAD,?EPREU?,"2,624"
ARAD,?ICULA,"4,395"
ARAD,?ILINDIA,847
ARAD,?IMAND,"4,376"
ARAD,?IRIA,"8,587"
ARAD,?I?TAROV??,357
ARAD,?OFRONEA,"2,825"
ARAD,TAU?,"1,799"
ARAD,TaRNOVA,"6,303"
ARAD,USUS?U,"1,399"
ARAD,V?R?DIA DE MURE?,"1,821"
ARAD,VaRFURILE,"2,826"
ARAD,VINGA,"6,558"
ARAD,VLADIMIRESCU,"12,215"
ARAD,Z?BRANI,"4,636"
ARAD,Z?D?RENI,"2,648"
ARAD,Z?RAND,"2,789"
ARAD,ZERIND,"1,361"
ARAD,ZIMANDUL NOU,"4,833"
ARAD Total,,"451,434"
ARGES,PITESTI,"164,119"
ARGES,CAMPULUNG,"34,554"
ARGES,CURTEA DE ARGES,"31,691"
ARGES,COSTESTI,"10,316"
ARGES,MIOVENI,"33,142"
ARGES,STEFANESTI,"14,918"
ARGES,TOPOLOVENI,"10,391"
ARGES,ALBESTII DE ARGES,"5,928"
ARGES,ALBESTII DE MUSCEL,"1,385"
ARGES,ALBOTA,"4,022"
ARGES,ANINOASA,"3,305"
ARGES,AREFU,"2,485"
ARGES,BABANA,"2,945"
ARGES,BAICULESTI,"6,068"
ARGES,BALILESTI,"4,111"
ARGES,BASCOV,"10,252"
ARGES,BELETI-NEGRESTI,"1,825"
ARGES,BEREVOESTI,"3,465"
ARGES,BIRLA,"5,049"
ARGES,BOGATI,"4,416"
ARGES,BOTENI,"2,474"
ARGES,BOTESTI,"1,147"
ARGES,BRADU,"7,209"
ARGES,BRADULET,"1,804"
ARGES,BUDEASA,"4,050"
ARGES,BUGHEA DE JOS,"2,993"
ARGES,BUGHEA DE SUS,"3,277"
ARGES,BUZOIESTI,"5,934"
ARGES,CALDARARU,"2,466"
ARGES,CALINESTI,"11,221"
ARGES,CATEASCA,"3,858"
ARGES,CEPARI,"2,231"
ARGES,CETATENI,"2,987"
ARGES,CICANESTI,"2,081"
ARGES,CIOFRANGENI,"2,490"
ARGES,CIOMAGESTI,"1,079"
ARGES,COCU,"2,199"
ARGES,CORBENI,"5,712"
ARGES,CORBI,"4,113"
ARGES,COSESTI,"5,409"
ARGES,COTMEANA,"2,008"
ARGES,CUCA,"2,096"
ARGES,DAMBOVICIOARA,869
ARGES,DARMANESTI,"3,631"
ARGES,DAVIDESTI,"3,037"
ARGES,DOBRESTI,"1,785"
ARGES,DOMNESTI,"3,250"
ARGES,DRAGANU,"1,925"
ARGES,DRAGOSLAVELE,"2,578"
ARGES,GODENI,"3,036"
ARGES,HARSESTI,"2,299"
ARGES,HARTIESTI,"2,010"
ARGES,IZVORU,"2,283"
ARGES,LEORDENI,"5,736"
ARGES,LERESTI,"4,607"
ARGES,LUNCA CORBULUI,"2,866"
ARGES,MALURENI,"4,525"
ARGES,MARACINENI,"5,329"
ARGES,MERISANI,"5,042"
ARGES,MICESTI,"4,619"
ARGES,MIHAESTI,"6,031"
ARGES,MIOARELE,"1,604"
ARGES,MIROSI,"2,424"
ARGES,MORARESTI,"1,821"
ARGES,MOSOAIA,"5,303"
ARGES,MOZACENI,"2,262"
ARGES,MUSATESTI,"3,902"
ARGES,NEGRASI,"2,359"
ARGES,NUCSOARA,"1,411"
ARGES,OARJA,"2,936"
ARGES,PIETROSANI,"5,752"
ARGES,POIANA LACULUI,"6,847"
ARGES,POIENARII DE ARGES,"1,114"
ARGES,POIENARII DE MUSCEL,"3,400"
ARGES,POPESTI,"2,013"
ARGES,PRIBOIENI,"3,485"
ARGES,RACA,"1,472"
ARGES,RATESTI,"3,196"
ARGES,RECEA,"2,854"
ARGES,ROCIU,"2,495"
ARGES,RUCAR,"5,952"
ARGES,SALATRUCU,"2,204"
ARGES,SAPATA,"1,776"
ARGES,SCHITU GOLESTI,"5,111"
ARGES,SLOBOZIA,"4,633"
ARGES,STALPENI,"4,906"
ARGES,STEFAN CEL MARE,"2,372"
ARGES,STOENESTI,"4,461"
ARGES,STOLNICI,"3,400"
ARGES,SUICI,"2,444"
ARGES,SUSENI,"3,052"
ARGES,TEIU,"1,379"
ARGES,TIGVENI,"3,490"
ARGES,TITESTI,"5,100"
ARGES,UDA,"1,987"
ARGES,UNGHENI,"3,074"
ARGES,VALEA DANULUI,"2,968"
ARGES,VALEA IASULUI,"2,774"
ARGES,VALEA MARE PRAVAT,"4,359"
ARGES,VEDEA,"3,728"
ARGES,VLADESTI,"3,107"
ARGES,VULTURESTI,"2,912"
ARGES Total,,"630,522"
BAC?U,BACAU,"172,508"
BAC?U,MOINESTI,"22,930"
BAC?U,ONESTI,"47,314"
BAC?U,BUHUSI,"19,026"
BAC?U,COMANESTI,"22,805"
BAC?U,DARMANESTI,"14,326"
BAC?U,SLANIC MOLDOVA,"4,805"
BAC?U,TARGU OCNA,"12,665"
