Denumire Judet,Tip localitate,Localitate,Numar Locuitori,Suprafata
ALBA,MUNICIPIU,ALBA IULIA,"68,796","3,173"
ALBA,MUNICIPIU,AIUD,"25,310","1,343"
ALBA,MUNICIPIU,BLAJ,"20,348","1,200"
ALBA,MUNICIPIU,SEBES,"29,811","1,680"
ALBA,ORAS,ABRUD,"5,475","1,943"
ALBA,ORAS,BAIA DE ARIES,"3,996",370
ALBA,ORAS,CAMPENI,"7,379",970
ALBA,ORAS,CUGIR,"24,968","1,260"
ALBA,ORAS,OCNA MURES,"14,631","1,015"
ALBA,ORAS,TEIUS,"7,312",693
ALBA,ORAS,ZLATNA,"7,905",915
ALBA,COMUNA,ALBAC,"2,133","1,365"
ALBA,COMUNA,ALMASU MARE,"1,323",673
ALBA,COMUNA,ARIESENI,"1,737",443
ALBA,COMUNA,AVRAM IANCU,"1,584",380
ALBA,COMUNA,BERGHIN,"2,075",390
ALBA,COMUNA,BISTRA,"4,773",960
ALBA,COMUNA,BLANDIANA,"1,008",240
ALBA,COMUNA,BUCERDEA GRANOASA,"2,384",244
ALBA,COMUNA,BUCIUM,"1,512",483
ALBA,COMUNA,CALNIC,"1,802",239
ALBA,COMUNA,CENADE,960,148
ALBA,COMUNA,CERGAU,"1,562",243
ALBA,COMUNA,CERU BACAINTI,270,91
ALBA,COMUNA,CETATEA DE BALTA,"2,991",280
ALBA,COMUNA,CIUGUD,"2,927",614
ALBA,COMUNA,CIURULEASA,"1,159",341
ALBA,COMUNA,CRACIUNELUL DE JOS,"2,209",190
ALBA,COMUNA,CRICAU,"2,210",290
ALBA,COMUNA,CUT,"1,277",124
ALBA,COMUNA,DAIA ROMANA,"3,085",170
ALBA,COMUNA,DOSTAT,970,160
ALBA,COMUNA,FARAU,"1,497",495
ALBA,COMUNA,GALDA DE JOS,"4,405",580
ALBA,COMUNA,GARBOVA,"2,088",282
ALBA,COMUNA,GARDA DE SUS,"1,661","1,144"
ALBA,COMUNA,HOPARTA,"1,188",364
ALBA,COMUNA,HOREA,"2,139",561
ALBA,COMUNA,IGHIU,"6,702",618
ALBA,COMUNA,INTREGALDE,607,393
ALBA,COMUNA,JIDVEI,"5,123",663
ALBA,COMUNA,LIVEZILE,"1,267",250
ALBA,COMUNA,LOPADEA NOUA,"2,712",474
ALBA,COMUNA,LUNCA MURES,"2,464",388
ALBA,COMUNA,LUPSA,"3,425",436
ALBA,COMUNA,METES,"2,914",685
ALBA,COMUNA,MIHALT,"3,385",904
ALBA,COMUNA,MIRASLAU,"2,090",307
ALBA,COMUNA,MOGOS,785,300
ALBA,COMUNA,NOSLAC,"1,723",381
ALBA,COMUNA,OCOLIS,626,181
ALBA,COMUNA,OHABA,713,500
ALBA,COMUNA,PIANU,"3,484",432
ALBA,COMUNA,POIANA VADULUI,"1,122",282
ALBA,COMUNA,PONOR,508,291
ALBA,COMUNA,POSAGA,"1,108",272
ALBA,COMUNA,RADESTI,"1,319",264
ALBA,COMUNA,RAMET,526,427
ALBA,COMUNA,RIMETEA,"1,054",247
ALBA,COMUNA,ROSIA DE SECAS,"1,544",260
ALBA,COMUNA,ROSIA MONTANA,"2,863","1,007"
ALBA,COMUNA,SALCIUA,"1,547",531
ALBA,COMUNA,SALISTEA,"2,306",284
ALBA,COMUNA,SANCEL,"2,502",240
ALBA,COMUNA,SANTIMBRU,"3,063",374
ALBA,COMUNA,SASCIORI,"6,081",133
ALBA,COMUNA,SCARISOARA,"1,587",252
ALBA,COMUNA,SIBOT,"2,479",321
ALBA,COMUNA,SOHODOL,"1,733",760
ALBA,COMUNA,SONA,"4,407",523
ALBA,COMUNA,SPRING,"2,451",353
ALBA,COMUNA,STREMT,"2,538",494
ALBA,COMUNA,SUGAG,"2,802","1,891"
ALBA,COMUNA,UNIREA,"5,132",611
ALBA,COMUNA,VADU MOTILOR,"1,423",212
ALBA,COMUNA,VALEA LUNGA,"3,137",402
ALBA,COMUNA,VIDRA,"1,634",256
ALBA,COMUNA,VINTU DE JOS,"5,439","1,186"
ARAD,MUNICIPIU,ARAD,"162,450","6,188"
ARAD,ORAS,CHISINEU CRIS,"8,140",982
ARAD,ORAS,CURTICI,"8,078",901
ARAD,ORAS,INEU,"9,394",957
ARAD,ORAS,LIPOVA,"10,739",882
ARAD,ORAS,NADLAC,"7,866",842
ARAD,ORAS,PANCOTA,"7,616",535
ARAD,ORAS,PECICA,"13,998","1,145"
ARAD,ORAS,SANTANA,"13,375","1,179"
ARAD,ORAS,SEBIS,"6,067",975
ARAD,COMUNA,ALMAS,"2,839",450
ARAD,COMUNA,APATEU,"3,502",485
ARAD,COMUNA,ARCHIS,"1,586",217
ARAD,COMUNA,BATA,"1,194",561
ARAD,COMUNA,BARSA,"1,866",328
ARAD,COMUNA,BARZAVA,"2,740",744
ARAD,COMUNA,BELIU,"3,069",352
ARAD,COMUNA,BIRCHIS,"2,040",658
ARAD,COMUNA,BOCSIG,"3,610",381
ARAD,COMUNA,BRAZII,"1,233",190
ARAD,COMUNA,BUTENI,"3,386",428
ARAD,COMUNA,CARAND,"1,133",163
ARAD,COMUNA,CERMEI,"2,747",516
ARAD,COMUNA,CHISINDIA,"1,401",401
ARAD,COMUNA,CONOP,"2,428",440
ARAD,COMUNA,COVASANT,"2,549",277
ARAD,COMUNA,CRAIVA,"2,871",439
ARAD,COMUNA,DEZNA,"1,258",277
ARAD,COMUNA,DIECI,"1,521",345
ARAD,COMUNA,DOROBANTI,"1,568",313
ARAD,COMUNA,FANTANELE,"3,538",271
ARAD,COMUNA,FELNAC,"3,150",594
ARAD,COMUNA,FRUMUSENI,"2,760",527
ARAD,COMUNA,GHIOROC,"4,188",466
ARAD,COMUNA,GRANICERI,"2,471",542
ARAD,COMUNA,GURAHONT,"4,039",563
ARAD,COMUNA,HALMAGIU,"2,932",561
ARAD,COMUNA,HALMAGEL,"1,254",209
ARAD,COMUNA,HASMAS,"1,327",186
ARAD,COMUNA,IGNESTI,706,120
ARAD,COMUNA,IRATOSU,"2,476",459
ARAD,COMUNA,LIVADA,"3,104",464
ARAD,COMUNA,MACEA,"6,665",650
ARAD,COMUNA,MISCA,"3,773",706
ARAD,COMUNA,MONEASA,967,164
