Nr.crt,Jud,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,Alba,635,823,987,1228,1279,1410,1320,1628,1624
2,Arad,890,1100,1411,1581,1757,1959,1999,2518,2377
3,Arges,739,808,975,1309,1545,1594,1587,1715,1997
4,Bacau,792,996,1054,1325,1503,1551,1628,1700,1802
5,Bihor,965,1300,1484,1781,1765,1872,2073,2137,2297
6,Bistrita-N.,788,1031,1104,1376,1441,1467,1762,1667,1739
7,Botosani,703,899,876,1455,1471,1490,1528,1711,1754
8,Brasov,793,1093,1247,1546,1437,1680,1557,1711,1994
9,Braila,984,1263,1280,1664,1836,1693,1825,2240,2401
10,Buzau,726,923,1030,1317,1468,1576,1693,2082,1927
11,Caras-Sev.,702,815,924,1320,1478,1528,1631,1644,1759
12,Calarasi,773,947,1059,1178,1519,1447,1360,1474,1575
13,Cluj,1225,1472,1659,2110,2116,2250,2314,2462,2345
14,Constanta,872,1175,1317,1571,1633,2099,1808,1834,2068
15,Covasna,721,117,1144,1434,1266,1401,1313,1487,1693
16,Dambovita,646,807,983,1417,1614,350,1452,3368,1742
17,Dolj,1006,1105,1441,1575,1729,1914,1726,1869,1864
18,Galati,730,954,997,1333,1381,1401,1358,1499,1644
19,Giurgiu,726,905,1037,1383,1501,1422,1381,1548,1737
20,Gorj,655,777,872,1076,1144,1246,1140,1339,1435
21,Harghita,2677,978,1306,1625,1632,1687,1610,1783,1856
22,Hunedoara,2537,247,3373,2112,1688,1768,1764,2199,2258
23,Ialomita,648,735,856,1149,1265,1326,1485,1544,1649
24,Iasi,1293,1674,1640,2399,2385,2266,2299,2550,2568
25,Ilfov,739,986,1332,1562,1677,1817,1371,1542,1676
26,Maramures,771,946,1348,1669,1695,1697,1946,1961,2127
27,Mehedinti,660,826,819,1233,1294,1382,1358,1587,1886
28,Mures,1321,1644,1691,1683,2013,2341,2522,2666,2905
29,Neamt,675,804,961,1454,1399,1479,1558,1685,1790
30,Olt,818,994,1148,194,1784,1645,1687,1686,1675
31,Prahova,713,968,1042,1325,1440,1465,1426,1562,1628
32,Satu-Mare,78,1016,1136,1506,1515,1686,1625,1693,1908
33,Salaj,687,862,911,1312,1358,1525,1606,1720,1856
34,Sibiu,887,1115,1388,1796,1867,1869,1820,2124,2318
35,Suceava,662,838,1051,1277,1501,1508,1473,1623,1713
36,Teleorman,767,933,1029,1156,1301,1605,1411,1462,1728
37,Timis,1293,1528,1861,2219,2425,3512,2797,2417,2931
38,Tulcea,749,950,852,1078,1108,1110,1153,1331,1505
39,Vaslui,559,743,891,1237,1404,1470,1428,1646,1672
40,Valcea,827,936,1143,1485,1297,1265,1622,1307,1413
41,Vrancea,733,1248,1286,1310,1388,1415,1424,1564,1761
42,M.Bucuresti,1473,1955,1950,2254,2508,2486,2510,2708,2798
