Nr.crt,Jud,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,Alba,25403,34118,39135,49795,51758,60578,50489,62881,61478
2,Arad,28234,35608,46388,52398,57839,63762,61189,77364,72934
3,Arges,27569,30339,38754,52820,57212,58352,55140,56694,63261
4,Bacau,34690,42176,45370,60937,67914,67232,67805,67886,71708
5,Bihor,30939,41755,49639,62422,62494,66933,65551,68775,74858
6,Bistrita-N.,23277,31315,31792,42781,45469,46986,54228,51862,52833
7,Botosani,27145,35745,35047,61180,60091,58998,58906,60418,61873
8,Brasov,29128,39236,46920,60804,56258,65907,59098,60696,70879
9,Braila,32642,42868,45806,59841,66409,61850,60029,67640,71833
10,Buzau,26064,30706,33742,45238,50628,52223,51084,57026,53114
11,Caras-Sev.,27019,31773,37877,53626,56939,56134,57370,53972,54751
12,Calarasi,28032,33493,35534,42849,55905,51366,45628,51560,53142
13,Cluj,47583,56510,65100,85774,87723,91957,80924,95374,91633
14,Constanta,32483,44055,50253,62246,62300,73582,65256,67770,73992
15,Covasna,20186,3451,32858,43567,36859,41205,36916,40249,47585
16,Dambovita,23835,28408,37409,55067,53241,10711,41575,88522,47983
17,Dolj,36137,39777,53608,62285,70636,75484,65957,68443,68028
18,Galati,30815,39802,41431,57239,59998,58664,54427,58811,64023
19,Giurgiu,24641,30315,36178,47948,50669,46844,43842,46987,52688
20,Gorj,25411,30334,37131,46703,48536,48420,41939,47300,49575
21,Harghita,81676,29252,39413,50167,50696,54219,50306,51524,52803
22,Hunedoara,87704,7865,109295,72495,59438,60307,59248,68072,69284
23,Ialomita,34641,39829,46305,61367,67153,66109,65983,64971,67460
24,Iasi,47286,60102,58858,82616,84456,79100,75889,83811,85885
25,Ilfov,21674,27348,39836,48119,51642,54651,36063,46359,50894
26,Maramures,29566,37019,45478,58825,59612,59455,62400,61846,71486
27,Mehedinti,27511,34233,36468,47485,51121,52928,49860,57088,62516
28,Mures,43312,53490,55672,50268,68487,77558,82568,87603,102096
29,Neamt,25437,31089,36927,57269,56834,58158,57151,55771,61481
30,Olt,31179,38690,50028,8836,81457,75326,68647,63894,61280
31,Prahova,30356,37797,39725,52146,56745,56190,55163,57299,58904
32,Satu-Mare,2805,35648,40707,54811,55839,59228,57230,56507,64487
33,Salaj,24270,30991,33207,47568,46939,48450,51391,53600,60071
34,Sibiu,28222,35511,44117,61032,63846,64093,61349,67539,73808
35,Suceava,24513,29437,36022,46200,54492,50319,48253,52782,55948
36,Teleorman,27055,32197,38067,45261,50704,57045,48455,48618,56163
37,Timis,40248,46802,58307,72933,78979,89222,84886,75887,92808
38,Tulcea,27570,33225,30312,40866,47348,48548,46212,49990,53514
39,Vaslui,23144,29981,36264,50928,57080,59063,53816,63734,63009
40,Valcea,33240,38048,48505,63622,57755,53920,65868,48912,51801
41,Vrancea,32364,51813,56970,59902,63078,65298,63708,71531,80399
42,M.Bucuresti,71302,88030,95175,115280,130080,128312,121005,124408,129361
