Nr.crt,Jud,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,Alba,79,108,131,162,170,194,185,243,252
2,Arad,94,118,159,176,196,215,109,264,252
3,Arges,88,101,129,168,193,199,192,202,241
4,Bacau,109,140,152,194,221,230,235,240,255
5,Bihor,99,137,162,199,202,216,233,232,259
6,Bistrita-N.,84,119,128,161,172,175,208,205,219
7,Botosani,90,118,119,197,202,202,201,224,236
8,Brasov,94,131,160,203,192,227,204,219,259
9,Braila,104,146,151,200,223,205,206,245,265
10,Buzau,80,98,111,145,163,173,178,208,197
11,Caras-Sev.,98,116,137,187,205,212,223,223,243
12,Calarasi,93,115,137,152,199,188,174,199,213
13,Cluj,158,191,220,292,300,319,321,337,333
14,Constanta,110,164,175,205,209,260,230,240,285
15,Covasna,75,12,120,154,136,154,149,170,191
16,Dambovita,86,109,138,194,204,41,167,378,203
17,Dolj,117,135,180,203,231,256,227,244,246
18,Galati,103,139,147,201,217,217,206,219,239
19,Giurgiu,89,113,128,175,195,188,182,198,225
20,Gorj,82,103,119,146,159,175,157,184,200
21,Harghita,315,116,159,199,204,218,206,218,235
22,Hunedoara,308,29,393,258,213,220,219,275,285
23,Ialomita,117,136,163,211,239,251,279,287,310
24,Iasi,151,200,199,277,280,269,261,285,303
25,Ilfov,67,90,131,160,180,199,145,167,184
26,Maramures,102,131,165,204,210,215,235,237,274
27,Mehedinti,94,124,122,158,178,186,172,205,230
28,Mures,147,183,194,200,242,276,296,317,360
29,Neamt,81,102,126,189,189,202,201,212,229
30,Olt,105,131,157,26,247,233,235,212,209
31,Prahova,95,126,136,170,191,199,192,207,215
32,Satu-Mare,10,128,142,186,193,213,207,214,249
33,Salaj,90,116,128,187,205,223,238,254,285
34,Sibiu,97,125,160,216,229,230,225,258,282
35,Suceava,86,108,134,166,198,194,190,208,210
36,Teleorman,93,118,138,154,181,217,198,206,256
37,Timis,136,169,210,255,284,338,320,286,355
38,Tulcea,103,130,121,160,174,173,168,189,212
39,Vaslui,71,98,120,164,192,200,197,225,231
40,Valcea,98,116,150,193,172,179,228,183,195
41,Vrancea,107,185,202,199,218,217,219,237,277
42,M.Bucuresti,214,289,304,353,405,410,398,423,450
