Nr.crt,Jud,1970,1980,1989,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
1,Alba,4047,4758,4665,4692,5072,5152,5254,4869,4835,4619,4797,4877,4620,4730,4826,4642,4349,4459,4687,4517,4433,4414,4327
2,Arad,6389,7499,7285,7250,7201,7548,7230,7081,6903,6559,6489,6653,6624,6552,6585,6516,6027,6072,6248,6133,5834,5984,5849
3,Arges,5570,6312,6825,6946,7648,7861,7754,7674,7388,7404,7558,7680,7426,7571,7482,7367,7268,7290,7248,7529,7510,7289,7172
4,Bacau,5193,6084,6429,6628,7624,8191,7787,7642,7785,7630,7831,8348,8566,7898,8198,7865,8154,8147,8260,8627,8134,8309,8420
5,Bihor,6945,8214,8534,8402,9127,9314,9152,8547,8636,8145,8208,8303,8153,8163,8018,7774,7567,7497,7668,7407,7210,7387,7410
6,Bistrita-N.,2855,3126,3276,3186,3312,3551,3541,3546,3342,3247,3300,3409,3258,3339,3499,3411,3248,3286,3306,3330,3273,3448,3188
7,Botosani,4009,4851,5177,5398,6028,6744,6272,6169,5724,5847,5823,6035,5991,5973,5651,5759,5681,5633,5871,5837,5564,5693,5550
8,Brasov,4094,5087,5599,5550,6005,6163,6113,6018,5942,5725,5751,6106,5909,5822,5926,5999,5800,5956,5789,5905,5818,5870,6080
9,Braila,3088,3662,4077,4162,4736,5066,4760,4538,4828,4586,4513,4700,4814,4706,4427,4560,4675,4680,4662,4740,4642,4802,4662
10,Buzau,4675,5575,6037,6055,6561,7323,7060,6614,6611,6283,6688,6839,6844,6458,6639,6440,6401,6445,6620,6724,6666,6565,6666
11,Caras-Sev.,4632,5066,4982,4941,4838,4956,4918,4689,4530,4514,4366,4381,4388,4527,4641,4500,4270,4192,4230,4294,4154,3930,4036
12,Calarasi,3209,3594,4085,4154,4620,5003,4674,4491,4318,4218,4390,4572,4564,4349,4380,4341,4273,4330,4389,4436,4303,4350,4304
13,Cluj,5884,7634,8068,8057,8592,8686,8925,8656,8388,8489,8262,8546,8181,8137,8363,8347,7832,7735,7803,7894,7766,8025,7786
14,Constanta,3654,5305,6565,6478,7499,7644,7619,7473,7374,7159,7505,7546,7374,7113,7286,7359,7389,7510,7509,7739,7689,7796,7597
15,Covasna,1918,2340,2443,2428,2524,2745,2627,2586,2556,2405,2351,2573,2600,2511,2427,2593,2467,2523,2559,2526,2421,2483,2381
16,Dambovita,4796,5743,6294,6570,6979,7233,7125,6811,6576,6357,6439,6814,6689,6315,6681,6494,6214,6372,6343,6416,6108,6263,6338
17,Dolj,7245,8733,9496,9530,10411,10912,10877,10345,10365,9521,9990,10730,10415,10055,10188,9952,9710,9742,9864,10008,9567,9543,9256
