Nr. crt.,Judetul,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,TOTAL,66.59,65.50,65.71,65.91,66.12,66.33,66.54,66.75,66.96,67.17,67.69,67.61,67.42,67.74,68.19,68.74,69.17,69.49,69.68,69.76,70.11,70.72,70.72,71.13,71.43
1,Alba,67.48,67.37,67.45,67.53,67.62,67.70,67.78,67.87,67.95,68.04,68.5,68.05,67.92,68.29,68.42,68.79,69.53,70.27,70.21,70.31,70.67,70.85,71.66,72.05,72.55
2,Arad,65.04,65.18,65.36,65.55,65.73,65.91,66.09,66.27,66.46,66.64,67,67.18,66.92,67.06,67.34,68.15,68.62,69.17,69.42,69.3,69.71,70.24,70.68,71.18,71.67
3,Arges,67.45,65.47,65.71,65.95,66.19,66.43,66.67,66.91,67.15,67.39,67.93,67.64,67.95,68.32,68.49,69.02,69.37,69.63,70,70.39,70.57,71.14,71.93,72.57,73.25
4,Bacau,67.73,65.24,65.41,65.58,65.75,65.93,66.10,66.27,66.44,66.61,67.16,67.06,66.68,66.78,67.6,68.02,68.42,68.81,68.65,68.61,68.96,69.66,70.26,70.93,71.58
5,Bihor,65.47,62.52,62.87,63.23,63.58,63.94,64.30,64.65,65.01,65.36,66.2,65.94,65.82,66.72,67.26,67.72,68.11,68.74,68.9,68.72,69.28,69.85,70.24,70.75,71.23
6,Bistrita-N.,67.24,66.11,66.36,66.60,66.85,67.10,67.34,67.59,67.83,68.08,68.82,68.09,68.35,69.24,69.64,69.64,69.65,70.32,70.81,71.09,71.58,71.7,71.75,71.85,71.93
7,Botosani,65.88,62.71,63.07,63.44,63.80,64.17,64.53,64.90,65.26,65.62,66.47,66.25,66.27,66.93,67.35,67.87,68.43,68.75,69.05,68.79,69.02,69.49,69.63,69.99,70.3
8,Brasov,67.09,67.15,67.32,67.48,67.65,67.82,67.99,68.15,68.32,68.49,68.93,68.81,68.61,69.11,69.38,69.43,69.82,70.54,71,71.17,71.64,71.96,72.29,72.61,72.94
9,Braila,66.78,63.13,63.52,63.92,64.31,64.70,65.10,65.49,65.88,66.28,67.23,67.31,66.86,67.16,67.87,69.25,69.27,69.11,69.04,69.37,69.99,69.72,69.78,69.62,69.52
10,Buzau,67.60,65.93,66.16,66.39,66.62,66.84,67.07,67.30,67.53,67.76,68.35,68.39,68.2,68.02,68.77,69.28,69.7,70.11,69.74,69.68,69.99,70.61,71.13,71.72,72.29
11,Caras-Sev.,64.72,65.86,65.99,66.12,66.24,66.37,66.50,66.63,66.76,66.89,66.89,67.16,67.25,67.77,67.43,67.57,67.76,68.42,69.11,69.08,69.43,69.81,70.59,71.1,71.68
