Nr. Crt.,Judetul,1989,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,TOTAL,23151564,23206720,22680951,22607620,22545925,22502803,22458022,22435205,22408393,21794793,21733556,21673328,21623849,21584365,21537563,21504442,21469959,21431298,21354396,21316420,21267165
1,Alba,428246,424258,406234,403494,402097,400563,397713,395941,394959,385880,385514,382971,379189,378614,376086,373928,373755,372265,370816,369048,367185
2,Arad,506683,508302,479575,477711,476988,478092,476624,476272,475339,462427,461744,460466,459286,458487,457713,457257,455952,454922,454073,452526,451434
3,Arges,676731,680056,678705,677246,676005,674809,673153,671514,671446,652950,650502,647437,646320,644590,644236,643762,640871,639157,636643,633654,630522
4,Bacau,731052,735197,744167,745463,746131,748894,750777,752761,754788,727230,725005,722961,723518,721411,719844,718125,716176,714641,712304,709272,707045
5,Bihor,660256,660116,631095,628501,625596,624157,621760,620517,619529,603143,600262,596961,595685,594982,594131,593431,593055,592561,592242,590554,589500
6,Bistrita-N.,327523,329259,328436,327262,326539,326217,325879,326278,326161,318315,319090,318558,317254,317685,316689,316787,317205,317247,316834,316014,315577
7,Botosani,467544,464839,462792,461793,460115,461889,462976,463808,465438,462730,460825,459195,459900,456765,454167,451199,448423,447107,444804,440968,439152
8,Brasov,694510,696441,640943,637463,636434,633140,630744,628643,626499,592491,595777,596140,595211,595758,593928,596642,597439,598313,598941,600079,600125
9,Braila,404252,402946,391075,389881,388891,388606,387070,385749,385066,375898,374318,371749,370428,367661,365628,362352,360191,357614,355173,352315,348812
10,Buzau,524439,521334,512849,510718,508492,507607,505280,504540,503451,500160,498085,495878,494052,490981,488763,484724,482684,480222,477215,474398,469949
11,Caras-Sev.,407940,403235,366296,362498,360773,359230,355664,353209,350344,335936,333860,332688,331876,330517,327579,325269,322941,320840,318616,316248,313827
12,Calarasi,351183,341631,336176,334164,332884,332309,331368,331843,330553,320387,319701,318588,317652,316294,315187,313626,312879,311898,310477,309800,307180
13,Cluj,742787,744049,727656,726790,724355,723915,722891,719864,720280,689738,684383,686825,694511,689523,692316,691989,690299,691048,689517,691317,693042
14,Constanta,736860,754356,746839,747122,746686,747218,745954,746041,746908,713783,713563,713825,715148,716576,718330,720303,722360,723796,724276,724378,723881
15,Covasna,237918,237669,232520,231872,231491,230992,230542,230537,230847,225724,224922,223878,223886,223770,223364,222978,222710,222434,221765,221106,220840
16,Dambovita,569746,566509,557125,555410,553986,553953,552271,551414,551382,541431,539322,538126,537090,535087,533330,530849,530354,529781,528955,528619,525800
17,Dolj,772451,776161,756318,751938,749311,747840,745204,744243,741825,730214,725342,720554,718874,715989,712187,708504,705345,702124,697813,694266,690257
18,Galati,642211,649880,643017,641561,641647,642759,642943,644077,643253,626277,622936,621161,620500,617979,614449,611590,609480,608904,604627,603314,601188
19,Giurgiu,324927,314945,302839,300615,298795,297368,295401,294000,293426,291784,289484,288018,286208,284501,283408,282554,281204,280125,279172,280501,276687
20,Gorj,387528,387444,397170,396990,397714,396549,395099,394809,394957,387335,386890,386097,384852,383557,381643,378871,377718,376179,375147,372719,370861
21,Harghita,362962,361856,345860,344323,343330,342892,342128,341570,340929,330325,329344,328547,326558,326347,325611,325089,324638,324890,323952,323313,322874
22,Hunedoara,567455,567754,546163,543848,543109,531238,526834,523073,518975,493760,489872,484767,480459,477259,472284,468318,464739,461450,457932,453730,450061
23,Ialomita,309193,303423,305011,304985,304740,304873,304690,304327,303947,294757,293969,293102,292666,291178,290563,288725,287780,286980,285733,284493,282561
24,Iasi,809892,815142,818345,822573,823735,828476,833388,836751,842126,805330,816003,821621,813943,824083,825100,826552,829973,825773,821311,838653,849670
25,Ilfov,0,0,0,0,277422,276810,274824,275482,276534,275893,276864,280037,283409,288296,294094,304045,312317,321007,334475,348031,358470
26,Maramures,556063,559393,537477,535124,533672,533088,531786,530955,530605,520635,519057,516562,515610,515313,513000,511828,511311,510482,509163,507756,506258
27,Mehedinti,328665,326816,328517,327521,325344,325167,323486,321853,320684,309183,307288,305901,303869,301515,298741,295248,292917,291051,288775,286912,284791
28,Mures,621246,621445,605773,604263,602626,602721,601552,601558,602311,588359,585990,584089,583383,583210,581759,581267,580815,580228,578945,577614,576417
