An,Total,Urban,Rural,Masculin,Feminin
1989,23151564,12344867,10806697,11422472,11729092
1990,23206720,12608844,10597876,11449147,11757573
1991,23185084,12351158,10833926,11435286,11749798
1992,22788969,12367358,10421611,11200695,11588274
1993,22755260,12406204,10349056,11176390,11578870
1994,22730622,12427612,10303010,11156807,11573815
1995,22680951,12457195,10223756,11123977,11556974
1996,22607620,12411174,10196446,11080933,11526687
1997,22545925,12404690,10141235,11041414,11504511
1998,22502803,12347886,10154917,11012110,11490693
1999,22458022,12302729,10155293,10984529,11473493
2000,22435205,12244598,10190607,10968854,11466351
2001,22408393,12243748,10164645,10949490,11458903
2002,21794793,11608735,10186058,10642538,11152255
2003,21733556,11561349,10172207,10606245,11127311
2004,21673328,11895598,9777730,10571606,11101722
2005,21623849,11879897,9743952,10543518,11080331
2006,21584365,11913938,9670427,10521189,11063176
2007,21537563,11877659,9659904,10496720,11040843
2008,21504442,11835328,9669114,10477611,11026831
2009,21469959,11823516,9646443,10457219,11012740
2010,21431298,11798735,9632563,10434143,10997155
2011,21354396,11727153,9627243,10392537,10961859
2012,21316420,11678600,9637820,10375200,10941220
2013,21267165,11665211,9601954,10349901,10917264
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
