Nr. Crt.,Judetul,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,TOTAL,10.2,8.8,9.1,7.9,6.8,5.6,5.3,4.9,4.6,4.3,6.9,5.3,5.1,4.8
1,Alba,15.2,12.8,12.9,11.1,9.4,7.7,7.2,6.8,6.3,5.8,9.1,7,6.4,5.8
2,Arad,7.4,6.2,6.5,5.4,4.2,3.1,3.1,3.1,3.1,3.1,4.9,3.3,3.2,2.9
3,Arges,6.8,7,7.5,6.6,5.8,5,4.8,4.5,4.3,4.1,7,5.2,5.7,5.7
4,Bacau,8.4,6.9,7.4,6.6,5.7,4.9,4.7,4.6,4.4,4.2,6.8,6,5.7,5.6
5,Bihor,3.6,3.4,4,3.4,2.7,2.1,2.3,2.4,2.6,2.8,4.9,3.7,4.1,4.2
6,Bistrita-N.,12.3,8.6,8.9,7.3,5.6,4,4,4.1,4.1,4.1,6,4.8,3.7,3.1
7,Botosani,14.1,10,9.9,8.1,6.2,4.3,4.1,3.9,3.8,3.6,4.8,3.5,2,1.1
8,Brasov,13.2,12.9,12.7,11.4,10.2,8.9,7.8,6.7,5.6,4.5,7.1,5.1,4.9,4.2
9,Braila,11.9,9.7,9.8,8.2,6.5,4.8,4.7,4.6,4.6,4.5,7,4.8,4.4,3.9
10,Buzau,11.2,9.6,9.9,8.7,7.6,6.4,6.1,5.7,5.4,5,8.1,6.7,6.4,6.1
11,Caras-Sev.,10.8,11.1,11.2,9.9,8.5,7.1,6.6,6.1,5.6,5.1,8.7,5.7,6.3,6
12,Calarasi,8.1,8.8,9,8.3,7.6,6.9,6.2,5.5,4.7,4,6.8,5.2,5.6,5.4
13,Cluj,11.3,8.4,8.5,7.2,5.8,4.5,4.2,3.9,3.7,3.4,4.8,4,2.9,2.3
14,Constanta,12.5,10.9,10.9,9.6,8.2,6.8,6.3,5.7,5.2,4.6,7.2,5.5,5,4.5
15,Covasna,10.4,9.4,9.8,8.9,7.9,7,6.6,6.1,5.7,5.3,8.7,7.4,7.4,7.2
16,Dambovita,10.1,9.4,9.7,8.7,7.6,6.6,6.2,5.7,5.3,4.9,8,6.4,6.4,6.2
17,Dolj,11.2,8,8.6,7.4,6.2,5,5.1,5.3,5.4,5.5,8.8,8,7.3,7.1
18,Galati,14.3,12.3,12.5,10.9,9.3,7.7,7.2,6.7,6.3,5.8,9.2,7.1,6.7,6.2
19,Giurgiu,6.4,6.6,7.1,6.3,5.4,4.6,4.5,4.4,4.3,4.1,7.2,5.3,5.9,5.9
20,Gorj,12.6,12.2,12.5,11.2,9.9,8.6,8,7.4,6.7,6.1,10.2,7.8,8.1,7.8
21,Harghita,8.7,9.5,9.8,9,8.1,7.2,6.6,6,5.5,4.9,8.4,6.2,6.9,6.8
22,Hunedoara,17.5,15.4,15,13.2,11.3,9.4,8.4,7.4,6.4,5.4,8.1,5.8,5,4
23,Ialomita,11,12.5,12.4,11.8,11.1,10.5,9,7.6,6.1,4.6,7.7,6.1,6.5,6.1
24,Iasi,10.1,8.5,8.8,7.6,6.5,5.4,5,4.6,4.2,3.9,6,4.8,4.4,3.9
25,Ilfov,6.1,4.7,5,4,3,2,2,1.9,1.9,1.9,2.8,1.8,1.4,1.1
26,Maramures,8.5,7.4,7.7,6.4,5.2,4,3.9,3.8,3.7,3.5,5.7,3.9,3.8,3.5
27,Mehedinti,8.8,8.2,8.7,8.3,7.9,7.5,6.9,6.4,5.8,5.2,8.7,8.4,8.3,8.3
28,Mures,6.4,6.4,6.9,6.1,5.2,4.3,4.3,4.3,4.3,4.3,7.5,5.6,6.2,6.2
29,Neamt,16.9,11.8,11.8,9.4,7,4.6,4.7,4.7,4.8,4.9,6.9,4.8,3.2,2.3
30,Olt,8.1,7.2,7.7,6.9,6.2,5.5,5.1,4.8,4.4,4,6.6,5.8,5.7,5.5
31,Prahova,14.3,11.8,11.9,9.9,7.9,5.9,5.8,5.7,5.6,5.5,8.7,5.9,5.5,4.9
32,Satu-Mare,3.4,3.4,4.1,3.6,3.2,2.7,2.7,2.7,2.7,2.7,4.8,3.9,4.3,4.4
33,Salaj,9.6,8.1,8.5,7.3,6.2,5,4.9,4.8,4.7,4.6,7.4,5.9,5.7,5.5
34,Sibiu,9.8,8.2,8.4,7.4,6.4,5.4,4.9,4.4,3.9,3.4,5.1,4.3,3.7,3.2
35,Suceava,12.4,10.2,10.2,8.6,6.9,5.2,5,4.7,4.5,4.3,6.6,4.5,4,3.4
36,Teleorman,8.4,8.3,8.8,8.1,7.5,6.8,6.3,5.9,5.4,5,8.4,7.2,7.5,7.4
37,Timis,7.2,5.8,6.1,4.8,3.6,2.3,2.3,2.4,2.4,2.5,3.8,2.1,1.9,1.5
38,Tulcea,10.7,8.9,9.2,7.7,6.3,4.8,4.8,4.7,4.7,4.6,7.4,5.4,5.2,4.8
39,Vaslui,12.8,10.7,10.9,9.7,8.4,7.1,6.7,6.2,5.8,5.4,8.5,7.2,6.6,6.2
40,Valcea,12.7,11.2,11.3,9.7,8.1,6.5,6.1,5.7,5.2,4.8,7.6,5.3,5,4.5
41,Vrancea,4.5,4.2,4.8,4.2,3.5,2.9,3,3.2,3.3,3.4,6,4.8,5.2,5.3
42,M.Bucuresti,6.8,5.1,5.3,4.5,3.8,3,2.7,2.4,2.1,1.7,2.3,2.1,1.3,0.9
