Nr. Crt.,Judetul,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,TOTAL,11.2,9.4,10.1,8.3,8,7.2,6.7,6.2,5.7,5.1,8.5,6.3,7.3,7.3
1,Alba,10.7,9.3,10.4,9.1,9.2,8.8,8.2,7.7,7.1,6.5,10.9,8.4,9.7,9.8
2,Arad,9.4,7.3,7.7,5.7,5.1,4,3.8,3.7,3.5,3.3,5.5,3.6,4.5,4.6
3,Arges,7.2,5.8,6.9,5.6,5.7,5.3,5.2,5.1,4.9,4.8,8,6.1,7.3,7.6
4,Bacau,10.4,8.8,9.7,8.2,8.1,7.5,6.9,6.3,5.7,5.2,8.6,6.4,7.3,7.3
5,Bihor,5.6,4.1,5.1,3.7,3.7,3.2,3.4,3.7,3.9,4.1,6.9,4.7,6.3,6.7
6,Bistrita-N.,13.1,10.4,10.2,7.4,6.2,4.5,4.4,4.3,4.2,4.1,6.9,5,6.2,6.4
7,Botosani,19.3,16,15.3,12,10.3,8,7.2,6.4,5.6,4.8,8,4.6,5.6,5.2
8,Brasov,9.7,8.5,9.8,8.5,8.8,8.6,7.5,6.5,5.4,4.4,7.3,5.1,5.4,4.9
9,Braila,19.2,16.1,15.5,12.3,10.7,8.6,8,7.4,6.7,6.1,10.2,6.6,8.1,7.9
10,Buzau,14.1,12,12.3,10.2,9.5,8.4,8,7.5,7.1,6.6,11,9.1,10.3,10.6
11,Caras-Sev.,8.7,7.7,9.1,8.1,8.5,8.5,7.8,7,6.3,5.6,9.3,5.6,6.9,6.6
12,Calarasi,15.3,13.4,14,12.2,11.8,10.9,9.8,8.6,7.5,6.4,10.6,7.5,8.3,7.9
13,Cluj,11.3,8.9,9,6.7,5.8,4.4,4.1,3.7,3.4,3,5,3.6,4.2,4.1
14,Constanta,7.8,6.2,7.1,5.4,5.3,4.7,4.2,3.8,3.3,2.8,4.7,3.5,3.8,3.7
15,Covasna,11.8,10.5,11.8,10.5,10.8,10.5,9.5,8.6,7.6,6.7,11.1,9.6,10.2,10.1
16,Dambovita,11.3,9.6,10.5,8.8,8.7,8,7.3,6.7,6,5.3,8.9,6.5,7.4,7.3
17,Dolj,13.3,11.1,11.4,9.3,8.6,7.4,7.2,6.9,6.7,6.4,10.7,9.6,10.8,11.2
18,Galati,11.2,9.7,10.7,9.3,9.3,8.8,8.3,7.8,7.3,6.8,11.4,8.6,10.1,10.2
19,Giurgiu,9.5,7.9,8.8,7.2,7.1,6.5,6.3,6.1,5.9,5.8,9.6,6.2,8,8.2
20,Gorj,13.1,11.5,12.4,10.7,10.6,10,9,8,7,5.9,9.9,7.8,8.4,8.1
21,Harghita,11.2,9.9,11.1,9.9,10.1,9.8,8.7,7.6,6.5,5.5,9.1,6.8,7.3,6.9
22,Hunedoara,15.5,13.3,13.6,11.4,10.7,9.5,8.4,7.4,6.3,5.3,8.8,6.1,6.7,6.3
23,Ialomita,15,13.7,14.9,13.7,13.9,13.6,12,10.4,8.8,7.1,11.9,9,9.4,8.8
24,Iasi,11.8,10.2,11.1,9.5,9.4,8.8,7.8,6.7,5.7,4.7,7.8,6,6.3,5.9
25,Ilfov,6.3,4.4,5.1,3.2,2.9,2,1.9,1.8,1.7,1.6,2.6,1.5,2,2
26,Maramures,9.9,7.9,8.4,6.4,5.9,4.9,4.6,4.3,4.1,3.8,6.3,4.3,5.2,5.3
27,Mehedinti,11.8,10.7,12.1,10.9,11.3,11.2,10.2,9.2,8.2,7.2,12,10.9,11.4,11.4
28,Mures,7.8,6.2,7.1,5.6,5.5,4.9,4.9,5,5,5,8.4,6.3,7.8,8.2
29,Neamt,16.3,13.3,12.9,9.9,8.5,6.5,6.2,5.8,5.5,5.1,8.5,5.6,7,7
30,Olt,10.7,9.3,10.4,8.9,9,8.6,7.9,7.2,6.5,5.8,9.6,7.9,8.7,8.6
31,Prahova,12.8,10.6,10.8,8.6,7.8,6.6,6.2,5.9,5.5,5.1,8.5,5.5,6.9,6.9
32,Satu-Mare,5.6,4.3,5.5,4.1,4.3,4,4.1,4.2,4.2,4.3,7.2,5.3,6.7,7
33,Salaj,10.5,8.8,9.6,7.9,7.7,7,6.6,6.3,5.9,5.6,9.3,7,8.3,8.4
34,Sibiu,10.7,8.9,9.5,7.7,7.3,6.5,5.8,5.1,4.5,3.8,6.3,4.4,4.9,4.7
35,Suceava,11.9,9.9,10.3,8.3,7.7,6.7,6.2,5.8,5.3,4.8,8,5.2,6.3,6.3
36,Teleorman,9.5,8.8,10.5,9.8,10.5,10.8,10.1,9.4,8.6,7.9,13.2,11,12.3,12.4
37,Timis,8.1,5.9,6.2,4.1,3.4,2.2,2.2,2.2,2.2,2.2,3.7,1.7,2.7,2.7
38,Tulcea,12,10,10.5,8.5,8,7,6.6,6.1,5.7,5.2,8.7,6.1,7.3,7.3
39,Vaslui,18,16,16.6,14.6,14.2,13.2,12.2,11.2,10.1,9.1,15.2,12.5,13.8,13.9
40,Valcea,12.4,10.3,10.6,8.5,7.8,6.7,6.2,5.7,5.2,4.7,7.8,5.2,6.2,6.1
41,Vrancea,7.7,6.2,7.1,5.6,5.5,5,5.1,5.1,5.2,5.3,8.8,6.3,8,8.4
42,M.Bucuresti,4.7,3.2,4.1,2.6,2.5,2,1.8,1.7,1.5,1.4,2.3,1.9,2.1,2.1
